lat,lon,prospectivity_rank,rank_sd,uncertainty,applicability,data_status,known_mn_record_in_cell,indian_government_mn_evidence_in_cell
20.755,78.505,20.9,9.3,MODERATE,HIGH,OK,0,0
20.755,78.515,36.7,11.6,HIGH,HIGH,OK,0,0
20.755,78.525,41.0,12.0,HIGH,HIGH,OK,0,0
20.755,78.535,30.1,10.6,HIGH,HIGH,OK,0,0
20.755,78.545,19.9,11.9,HIGH,HIGH,OK,0,0
20.755,78.555,49.7,13.3,HIGH,HIGH,OK,0,0
20.755,78.565,37.7,15.8,HIGH,HIGH,OK,0,0
20.755,78.575,20.4,9.5,MODERATE,HIGH,OK,0,0
20.755,78.585,41.0,13.2,HIGH,HIGH,OK,0,0
20.755,78.595,43.0,16.0,HIGH,HIGH,OK,0,0
20.755,78.605,36.0,12.8,HIGH,HIGH,OK,0,0
20.755,78.615,49.3,14.5,HIGH,HIGH,OK,0,0
20.755,78.625,33.0,14.2,HIGH,HIGH,OK,0,0
20.755,78.635,44.5,12.5,HIGH,HIGH,OK,0,0
20.755,78.645,24.6,15.8,HIGH,HIGH,OK,0,0
20.755,78.655,33.1,18.0,HIGH,HIGH,OK,0,0
20.755,78.665,27.1,17.1,HIGH,HIGH,OK,0,0
20.755,78.675,33.9,14.8,HIGH,HIGH,OK,0,0
20.755,78.685,29.7,13.3,HIGH,HIGH,OK,0,0
20.755,78.695,34.2,18.3,HIGH,HIGH,OK,0,0
20.755,78.705,17.7,10.6,HIGH,HIGH,OK,0,0
20.755,78.715,30.6,11.8,HIGH,HIGH,OK,0,0
20.755,78.725,35.2,14.8,HIGH,HIGH,OK,0,0
20.755,78.735,29.2,17.4,HIGH,HIGH,OK,0,0
20.755,78.745,56.2,12.5,HIGH,HIGH,OK,0,0
20.755,78.755,44.8,17.8,HIGH,HIGH,OK,0,0
20.755,78.765,43.3,15.5,HIGH,HIGH,OK,0,0
20.755,78.775,24.3,11.2,HIGH,HIGH,OK,0,0
20.755,78.785,47.5,18.3,HIGH,HIGH,OK,0,0
20.755,78.795,38.6,14.3,HIGH,HIGH,OK,0,0
20.755,78.805,26.4,11.5,HIGH,HIGH,OK,0,0
20.755,78.815,37.5,15.2,HIGH,HIGH,OK,0,0
20.755,78.825,39.8,14.5,HIGH,HIGH,OK,0,0
20.755,78.835,55.4,16.9,HIGH,HIGH,OK,0,0
20.755,78.845,44.9,13.2,HIGH,HIGH,OK,0,0
20.755,78.855,40.4,12.7,HIGH,HIGH,OK,0,0
20.755,78.865,41.1,14.5,HIGH,HIGH,OK,0,0
20.755,78.875,36.4,14.1,HIGH,HIGH,OK,0,0
20.755,78.885,43.1,16.8,HIGH,HIGH,OK,0,0
20.755,78.895,41.4,15.9,HIGH,HIGH,OK,0,0
20.755,78.905,41.2,18.2,HIGH,HIGH,OK,0,0
20.755,78.915,33.1,15.1,HIGH,HIGH,OK,0,0
20.755,78.925,46.6,13.5,HIGH,HIGH,OK,0,0
20.755,78.935,58.5,15.3,HIGH,HIGH,OK,0,0
20.755,78.945,51.8,19.1,HIGH,HIGH,OK,0,0
20.755,78.955,46.1,13.1,HIGH,HIGH,OK,0,0
20.755,78.965,38.1,10.7,HIGH,HIGH,OK,0,0
20.755,78.975,43.0,12.7,HIGH,HIGH,OK,0,0
20.755,78.985,43.8,16.7,HIGH,HIGH,OK,0,0
20.755,78.995,33.8,14.4,HIGH,HIGH,OK,0,0
20.755,79.005,36.7,13.6,HIGH,HIGH,OK,0,0
20.755,79.015,34.3,13.6,HIGH,HIGH,OK,0,0
20.755,79.025,31.2,14.2,HIGH,HIGH,OK,0,0
20.755,79.035,54.0,13.4,HIGH,HIGH,OK,0,0
20.755,79.045,47.6,13.2,HIGH,HIGH,OK,0,0
20.755,79.055,43.4,18.2,HIGH,HIGH,OK,0,0
20.755,79.065,54.5,15.6,HIGH,HIGH,OK,0,0
20.755,79.075,40.6,16.3,HIGH,HIGH,OK,0,0
20.755,79.085,40.4,13.1,HIGH,HIGH,OK,0,0
20.755,79.095,53.5,18.4,HIGH,HIGH,OK,0,0
20.755,79.105,58.8,18.6,HIGH,HIGH,OK,0,0
20.755,79.115,44.8,11.0,HIGH,HIGH,OK,0,0
20.755,79.125,56.8,10.4,HIGH,HIGH,OK,0,0
20.755,79.135,52.0,17.9,HIGH,HIGH,OK,0,0
20.755,79.145,49.4,18.0,HIGH,HIGH,OK,0,0
20.755,79.155,48.1,11.0,HIGH,HIGH,OK,0,0
20.755,79.165,72.3,16.3,HIGH,HIGH,OK,0,0
20.755,79.175,42.6,13.7,HIGH,HIGH,OK,0,0
20.755,79.185,53.8,11.8,HIGH,HIGH,OK,0,0
20.755,79.195,40.8,11.0,HIGH,HIGH,OK,0,0
20.755,79.205,27.5,17.4,HIGH,HIGH,OK,0,0
20.755,79.215,66.5,15.0,HIGH,HIGH,OK,0,0
20.755,79.225,43.6,11.0,HIGH,HIGH,OK,0,0
20.755,79.235,39.4,17.9,HIGH,HIGH,OK,0,0
20.755,79.245,17.8,15.1,HIGH,HIGH,OK,0,0
20.755,79.255,33.1,13.9,HIGH,HIGH,OK,0,0
20.755,79.265,34.5,13.7,HIGH,HIGH,OK,0,0
20.755,79.275,63.6,15.7,HIGH,HIGH,OK,0,0
20.755,79.285,83.2,10.4,HIGH,HIGH,OK,0,0
20.755,79.295,64.3,16.7,HIGH,HIGH,OK,0,0
20.755,79.305,76.4,26.0,HIGH,HIGH,OK,0,0
20.755,79.315,74.4,27.4,HIGH,HIGH,OK,0,0
20.755,79.325,58.7,20.6,HIGH,HIGH,OK,0,0
20.755,79.335,76.3,18.7,HIGH,HIGH,OK,0,0
20.755,79.345,50.8,16.7,HIGH,HIGH,OK,0,0
20.755,79.355,43.0,16.8,HIGH,HIGH,OK,0,0
20.755,79.365,37.9,12.7,HIGH,HIGH,OK,0,0
20.755,79.375,56.7,18.2,HIGH,HIGH,OK,0,0
20.755,79.385,59.4,16.7,HIGH,HIGH,OK,0,0
20.755,79.395,50.0,15.1,HIGH,HIGH,OK,0,0
20.755,79.405,53.0,11.8,HIGH,HIGH,OK,0,0
20.755,79.415,48.7,15.0,HIGH,HIGH,OK,0,0
20.755,79.425,24.1,14.3,HIGH,HIGH,OK,0,0
20.755,79.435,28.5,16.4,HIGH,HIGH,OK,0,0
20.755,79.445,39.2,13.4,HIGH,HIGH,OK,0,0
20.755,79.455,37.6,16.6,HIGH,HIGH,OK,0,0
20.755,79.465,20.1,12.0,HIGH,HIGH,OK,0,0
20.755,79.475,30.3,12.3,HIGH,HIGH,OK,0,0
20.755,79.485,37.0,16.9,HIGH,HIGH,OK,0,0
20.755,79.495,28.0,11.1,HIGH,HIGH,OK,0,0
20.755,79.505,27.8,11.4,HIGH,HIGH,OK,0,0
20.755,79.515,23.6,14.4,HIGH,HIGH,OK,0,0
20.755,79.525,33.3,16.4,HIGH,HIGH,OK,0,0
20.755,79.535,23.7,13.9,HIGH,HIGH,OK,0,0
20.755,79.545,62.4,17.4,HIGH,HIGH,OK,0,0
20.755,79.555,36.6,19.7,HIGH,HIGH,OK,0,0
20.755,79.565,16.2,16.7,HIGH,HIGH,OK,0,0
20.755,79.575,58.0,11.8,HIGH,HIGH,OK,0,0
20.755,79.585,45.0,14.5,HIGH,HIGH,OK,0,0
20.755,79.595,28.4,15.8,HIGH,HIGH,OK,0,0
20.755,79.605,62.6,13.5,HIGH,HIGH,OK,0,0
20.755,79.615,71.4,15.5,HIGH,HIGH,OK,0,0
20.755,79.625,63.2,14.7,HIGH,HIGH,OK,0,0
20.755,79.635,67.7,14.4,HIGH,HIGH,OK,0,0
20.755,79.645,39.6,17.6,HIGH,HIGH,OK,0,0
20.755,79.655,25.7,18.9,HIGH,HIGH,OK,0,0
20.755,79.665,34.5,18.9,HIGH,HIGH,OK,0,0
20.755,79.675,63.9,21.6,HIGH,HIGH,OK,0,0
20.755,79.685,25.1,16.4,HIGH,HIGH,OK,0,0
20.755,79.695,33.0,17.2,HIGH,HIGH,OK,0,0
20.755,79.705,44.2,16.4,HIGH,HIGH,OK,0,0
20.755,79.715,41.1,20.7,HIGH,HIGH,OK,0,0
20.755,79.725,21.2,21.0,HIGH,HIGH,OK,0,0
20.755,79.735,10.9,12.0,HIGH,HIGH,OK,0,0
20.755,79.745,24.4,16.6,HIGH,HIGH,OK,0,0
20.755,79.755,10.8,13.8,HIGH,HIGH,OK,0,0
20.755,79.765,21.7,17.8,HIGH,HIGH,OK,0,0
20.755,79.775,38.2,17.6,HIGH,HIGH,OK,0,0
20.755,79.785,25.1,19.1,HIGH,HIGH,OK,0,0
20.755,79.795,33.5,21.5,HIGH,HIGH,OK,0,0
20.755,79.805,19.7,18.0,HIGH,HIGH,OK,0,0
20.755,79.815,21.5,15.1,HIGH,HIGH,OK,0,0
20.755,79.825,9.3,14.5,HIGH,HIGH,OK,0,0
20.755,79.835,9.5,13.1,HIGH,HIGH,OK,0,0
20.755,79.845,18.8,11.0,HIGH,HIGH,OK,0,0
20.755,79.855,16.1,12.9,HIGH,HIGH,OK,0,0
20.755,79.865,61.7,20.8,HIGH,HIGH,OK,0,0
20.755,79.875,52.9,11.9,HIGH,HIGH,OK,0,0
20.755,79.885,77.0,9.3,MODERATE,HIGH,OK,0,0
20.755,79.895,50.4,15.9,HIGH,HIGH,OK,0,0
20.755,79.905,20.5,16.4,HIGH,HIGH,OK,0,0
20.755,79.915,46.8,15.7,HIGH,HIGH,OK,0,0
20.755,79.925,31.3,18.1,HIGH,HIGH,OK,0,0
20.755,79.935,32.4,19.1,HIGH,HIGH,OK,0,0
20.755,79.945,19.8,13.1,HIGH,HIGH,OK,0,0
20.755,79.955,34.4,18.9,HIGH,HIGH,OK,0,0
20.755,79.965,32.7,13.6,HIGH,HIGH,OK,0,0
20.755,79.975,18.6,15.4,HIGH,HIGH,OK,0,0
20.755,79.985,23.1,14.9,HIGH,HIGH,OK,0,0
20.755,79.995,13.1,12.6,HIGH,HIGH,OK,0,0
20.755,80.005,19.5,14.8,HIGH,HIGH,OK,0,0
