lat,lon,geomorphology_class,geom_structural_origin,geom_hills_valleys,geom_plateau,geom_pediplain,geom_dissection,geom_water_fluvial,lineament_dist_km,lineament_density,provenance
20.755,78.505,Denudational Origin-Pediment-PediPlain Complex,0.0,0.0,0.0,1.0,0.0,0.0,1.667,0.01522,REAL_GOVERNMENT (NRSC Bhuvan 1:50k)
20.755,78.515,Denudational Origin-Pediment-PediPlain Complex,0.0,0.0,0.0,1.0,0.0,0.0,0.833,0.02536,REAL_GOVERNMENT (NRSC Bhuvan 1:50k)
20.755,78.525,Denudational Origin-Pediment-PediPlain Complex,0.0,0.0,0.0,1.0,0.0,0.0,0.052,0.02753,REAL_GOVERNMENT (NRSC Bhuvan 1:50k)
20.755,78.535,Denudational Origin-Pediment-PediPlain Complex,0.0,0.0,0.0,1.0,0.0,0.0,0.568,0.02753,REAL_GOVERNMENT (NRSC Bhuvan 1:50k)
20.755,78.545,,,,,,,,1.532,0.02319,REAL_GOVERNMENT (NRSC Bhuvan 1:50k)
20.755,78.555,,,,,,,,0.88,0.01703,REAL_GOVERNMENT (NRSC Bhuvan 1:50k)
20.755,78.565,,,,,,,,0.228,0.01799,REAL_GOVERNMENT (NRSC Bhuvan 1:50k)
20.755,78.575,,,,,,,,0.38,0.02476,REAL_GOVERNMENT (NRSC Bhuvan 1:50k)
20.755,78.585,Denudational Origin-Pediment-PediPlain Complex,0.0,0.0,0.0,1.0,0.0,0.0,1.023,0.02476,REAL_GOVERNMENT (NRSC Bhuvan 1:50k)
20.755,78.595,,,,,,,,1.689,0.01848,REAL_GOVERNMENT (NRSC Bhuvan 1:50k)
20.755,78.605,Denudational Origin-Pediment-PediPlain Complex,0.0,0.0,0.0,1.0,0.0,0.0,2.404,0.01063,REAL_GOVERNMENT (NRSC Bhuvan 1:50k)
20.755,78.615,Denudational Origin-Pediment-PediPlain Complex,0.0,0.0,0.0,1.0,0.0,0.0,3.045,0.00362,REAL_GOVERNMENT (NRSC Bhuvan 1:50k)
20.755,78.625,Denudational Origin-Pediment-PediPlain Complex,0.0,0.0,0.0,1.0,0.0,0.0,3.763,0.0,REAL_GOVERNMENT (NRSC Bhuvan 1:50k)
20.755,78.635,Denudational Origin-Pediment-PediPlain Complex,0.0,0.0,0.0,1.0,0.0,0.0,4.441,0.0,REAL_GOVERNMENT (NRSC Bhuvan 1:50k)
20.755,78.645,Denudational Origin-Pediment-PediPlain Complex,0.0,0.0,0.0,1.0,0.0,0.0,3.864,0.0,REAL_GOVERNMENT (NRSC Bhuvan 1:50k)
20.755,78.655,Denudational Origin-Pediment-PediPlain Complex,0.0,0.0,0.0,1.0,0.0,0.0,3.068,0.00411,REAL_GOVERNMENT (NRSC Bhuvan 1:50k)
20.755,78.665,Denudational Origin-Pediment-PediPlain Complex,0.0,0.0,0.0,1.0,0.0,0.0,2.311,0.01171,REAL_GOVERNMENT (NRSC Bhuvan 1:50k)
20.755,78.675,Denudational Origin-Pediment-PediPlain Complex,0.0,0.0,0.0,1.0,0.0,0.0,1.595,0.01171,REAL_GOVERNMENT (NRSC Bhuvan 1:50k)
20.755,78.685,Denudational Origin-Pediment-PediPlain Complex,0.0,0.0,0.0,1.0,0.0,0.0,1.169,0.01437,REAL_GOVERNMENT (NRSC Bhuvan 1:50k)
20.755,78.695,Denudational Origin-Pediment-PediPlain Complex,0.0,0.0,0.0,1.0,0.0,0.0,0.868,0.01437,REAL_GOVERNMENT (NRSC Bhuvan 1:50k)
20.755,78.705,Denudational Origin-Pediment-PediPlain Complex,0.0,0.0,0.0,1.0,0.0,0.0,0.347,0.0064,REAL_GOVERNMENT (NRSC Bhuvan 1:50k)
20.755,78.715,Denudational Origin-Pediment-PediPlain Complex,0.0,0.0,0.0,1.0,0.0,0.0,1.012,0.00821,REAL_GOVERNMENT (NRSC Bhuvan 1:50k)
20.755,78.725,Denudational Origin-Pediment-PediPlain Complex,0.0,0.0,0.0,1.0,0.0,0.0,1.841,0.00918,REAL_GOVERNMENT (NRSC Bhuvan 1:50k)
20.755,78.735,Denudational Origin-Pediment-PediPlain Complex,0.0,0.0,0.0,1.0,0.0,0.0,1.451,0.00664,REAL_GOVERNMENT (NRSC Bhuvan 1:50k)
20.755,78.745,Denudational Origin-Pediment-PediPlain Complex,0.0,0.0,0.0,1.0,0.0,0.0,1.242,0.01063,REAL_GOVERNMENT (NRSC Bhuvan 1:50k)
20.755,78.755,Denudational Origin-Pediment-PediPlain Complex,0.0,0.0,0.0,1.0,0.0,0.0,0.264,0.01063,REAL_GOVERNMENT (NRSC Bhuvan 1:50k)
20.755,78.765,Denudational Origin-Pediment-PediPlain Complex,0.0,0.0,0.0,1.0,0.0,0.0,0.568,0.00411,REAL_GOVERNMENT (NRSC Bhuvan 1:50k)
