fy,fy_start_year,fy_quarter,quarter_start,production_t,non_fines_t,fines_t,basis,source_documents,producer,scope,mineral,temporal_resolution,provenance
2012-13,2012,3,2012-10-01,314394.0,,,derived: cumulative difference,Quantitative Details for the Quarter ended 31.12.2013 [stated April-to-date (previous year)] minus Quantitative Details for the half year ended 30.09.2013 [stated April-to-date (previous year)],MOIL Ltd.,company total (all mines),manganese ore,quarter,REAL_MOIL_PUBLIC
2012-13,2012,4,2013-01-01,337000.0,260000.0,77000.0,stated quarter,Quantitative Details for the year 2013-14 [stated quarter (previous year)],MOIL Ltd.,company total (all mines),manganese ore,quarter,REAL_MOIL_PUBLIC
2013-14,2013,1,2013-04-01,252000.0,204000.0,48000.0,stated cumulative,Quantitative Details for the quarter ended 30.06.2014 [stated April-to-date (previous year)],MOIL Ltd.,company total (all mines),manganese ore,quarter,REAL_MOIL_PUBLIC
2013-14,2013,2,2013-07-01,231223.0,,,derived: cumulative difference,Quantitative Details for the half year ended 30.09.2013 [stated April-to-date (Sr. Particulars Unit Financial Half Year)] minus Quantitative Details for the quarter ended 30.06.2014 [stated April-to-date (previous year)],MOIL Ltd.,company total (all mines),manganese ore,quarter,REAL_MOIL_PUBLIC
2013-14,2013,3,2013-10-01,311777.0,,,derived: cumulative difference,Quantitative Details for the Quarter ended 31.12.2013 [stated April-to-date (- Manganese Ore Sr. Particulars Unit Nin)] minus Quantitative Details for the half year ended 30.09.2013 [stated April-to-date (Sr. Particulars Unit Financial Half Year)],MOIL Ltd.,company total (all mines),manganese ore,quarter,REAL_MOIL_PUBLIC
2013-14,2013,4,2014-01-01,340000.0,265000.0,75000.0,stated quarter,Quantitative Details for the year 2013-14 [stated quarter (Jan-Mar)],MOIL Ltd.,company total (all mines),manganese ore,quarter,REAL_MOIL_PUBLIC
2014-15,2014,1,2014-04-01,273000.0,223000.0,50000.0,stated cumulative,Quantitative Details for the quarter ended 30.6.2015 [stated April-to-date (previous year)],MOIL Ltd.,company total (all mines),manganese ore,quarter,REAL_MOIL_PUBLIC
2014-15,2014,2,2014-07-01,242000.0,977000.0,33000.0,stated quarter,Quantitative Details for the quarter ended 31.12.2014 [stated quarter (previous year)],MOIL Ltd.,company total (all mines),manganese ore,quarter,REAL_MOIL_PUBLIC
2014-15,2014,4,2015-01-01,317000.0,282000.0,35000.0,derived: cumulative difference,Quantitative Details for the year 2015-16 [stated previous FY] minus Quantitative Details for the quarter ended 31.12.2015 [stated April-to-date (previous year)],MOIL Ltd.,company total (all mines),manganese ore,quarter,REAL_MOIL_PUBLIC
2015-16,2015,1,2015-04-01,276000.0,220000.0,56000.0,stated cumulative,Quantitative Details for the quarter ended 30.06.2016 [stated April-to-date (previous year)],MOIL Ltd.,company total (all mines),manganese ore,quarter,REAL_MOIL_PUBLIC
2015-16,2015,2,2015-07-01,227000.0,206000.0,21000.0,stated quarter,Quantitative Details for the quarter ended 31.12.2014 [stated quarter],MOIL Ltd.,company total (all mines),manganese ore,quarter,REAL_MOIL_PUBLIC
2015-16,2015,3,2015-10-01,242000.0,230000.0,12000.0,derived: cumulative difference,Quantitative Details for the quarter ended 31.12.2016 [stated April-to-date (previous year)] minus Quantitative Details for the quarter ended 30.09.2016 [stated April-to-date (previous year)],MOIL Ltd.,company total (all mines),manganese ore,quarter,REAL_MOIL_PUBLIC
2015-16,2015,4,2016-01-01,287000.0,250000.0,37000.0,derived: cumulative difference,Quantitative Details for the year 2016-17 [stated previous FY] minus Quantitative Details for the quarter ended 31.12.2016 [stated April-to-date (previous year)],MOIL Ltd.,company total (all mines),manganese ore,quarter,REAL_MOIL_PUBLIC
2016-17,2016,1,2016-04-01,246000.0,206000.0,40000.0,stated cumulative,Quantitative Details for the quarter ended 30.06.2017 [stated April-to-date (previous year)],MOIL Ltd.,company total (all mines),manganese ore,quarter,REAL_MOIL_PUBLIC
2016-17,2016,2,2016-07-01,203000.0,173000.0,30000.0,derived: cumulative difference,Quantitative Details for the quarter ended 30.09.2017 [stated April-to-date (previous year)] minus Quantitative Details for the quarter ended 30.06.2017 [stated April-to-date (previous year)],MOIL Ltd.,company total (all mines),manganese ore,quarter,REAL_MOIL_PUBLIC
2016-17,2016,3,2016-10-01,272000.0,219000.0,53000.0,derived: cumulative difference,Quantitative Details for the quarter ended 31.12.2017 [stated April-to-date (previous year)] minus Quantitative Details for the quarter ended 30.09.2017 [stated April-to-date (previous year)],MOIL Ltd.,company total (all mines),manganese ore,quarter,REAL_MOIL_PUBLIC
