block_id,finding_type,evidence_class,value_text,mn_pct_min,mn_pct_max,count_tested,count_positive,depth_m,dip_min_deg,dip_max_deg,dip_direction,strike,source_doc,quote_or_summary,lat,lon,provenance
NAGARDHAN,historical_drilling_outcome,DRILLING_INTERSECTION_REPORTED,6-7 vertical boreholes by M/s Excel Mining; Mn mineralisation intersected in BH-1..BH-4,,,7.0,4.0,,,,,,NMET_NAGARDHAN,"manganese mineralisation intersected in 4 (BH-1, Bh-2, Bh-3 & Bh-4) out of 7 vertical boreholes; analytical data for pits as well as boreholes are not available",21.32678,79.32238,REAL_GOVERNMENT
NAGARDHAN,historical_pitting_outcome,PIT_INTERSECTION_REPORTED,"7 pits, 3 intersected Mn boulders",,,7.0,3.0,,,,,,NMET_NAGARDHAN,Three (3) out of 7 no. of pits intersected manganese boulders and remaining 4 were barren,21.32678,79.32238,REAL_GOVERNMENT
NAGARDHAN,reported_grade_range,GRADE_REPORTED,Mn grade 26-38 %,26.0,38.0,,,,,,,,NMET_NAGARDHAN,Mn grade varying from 26.00% to 38.00% Mn,21.32678,79.32238,REAL_GOVERNMENT
KAWALEWADA_SAKKARDARA,reported_grade,GRADE_REPORTED,"ore mostly Grade III (<38 % Mn); previous production of Grade II (40 % Mn, 0.10 % P)",,38.0,,,,,,,,NMET_KAWALEWADA,"mostly Grade III (less than 38% Mn), with previous production of Grade II ore (40% Mn and 0.10% P)",21.54966,79.80683,REAL_GOVERNMENT
KAWALEWADA_SAKKARDARA,megascopic_samples,GRADE_REPORTED,megascopic samples 35-45 % Mn,35.0,45.0,,,,,,,,NMET_KAWALEWADA,samples manganese content ranging from 35% to 45%,21.54966,79.80683,REAL_GOVERNMENT
KAWALEWADA_SAKKARDARA,reef_width,GEOLOGICAL_MAPPING,Mn reef widths 1.5-2 m intercalated with gondite,,,,,,,,,,NMET_KAWALEWADA,"revealing widths ranging from 1.5 to 2 meters, often intercalated with gondite",21.54966,79.80683,REAL_GOVERNMENT
KAWALEWADA_SAKKARDARA,host_formation,GEOLOGICAL_MAPPING,Mn gondite associated with Mansar Formation along old pits,,,,,,,,,,NMET_KAWALEWADA,"confirmed the association of Mn gondite with the Mansar Formation, particularly along old pits",21.54966,79.80683,REAL_GOVERNMENT
KAWALEWADA_SAKKARDARA,regional_structure,STRUCTURAL,"regional strike ENE-WSW (E-W centrally), dip 45-70 deg south",,,,,,45.0,70.0,S,ENE-WSW,NMET_KAWALEWADA,regional strike of the rocks is generally ENE-WSW ... with a 45-70 dip due south,21.54966,79.80683,REAL_GOVERNMENT
KAWALEWADA_SAKKARDARA,proposed_drilling,PROPOSAL_ONLY,6 proposed boreholes to 90-100 m (not drilled),,,,,100.0,,,,,NMET_KAWALEWADA,"PBH 1..PBH 6, 100 m each (proposed)",21.54966,79.80683,REAL_GOVERNMENT
RONGHA,structure,STRUCTURAL,"manganiferous horizons in schist / calc-gneiss, strike ENE-WSW, dip 55-75 deg south",,,,,,55.0,75.0,S,ENE-WSW,NMET_RONGHA,Manganiferous horizons ... dips vary from 55 to 75 south,21.49177,79.54832,REAL_GOVERNMENT
RONGHA,proposed_drilling,PROPOSAL_ONLY,scout boreholes up to 60-70 m vertical depth (not drilled),,,,,70.0,,,,,NMET_RONGHA,scout boreholes up to 60-70m vertical depth,21.49177,79.54832,REAL_GOVERNMENT
LANJERA_FUTALA,structure,STRUCTURAL,"folds overturned to north, axial planes dipping 60-80 deg south",,,,,,60.0,80.0,S,,NMET_LANJERA,axial planes dipping steeply (60 - 80) to the south,21.42229,79.5557,REAL_GOVERNMENT
LANJERA_FUTALA,proposed_drilling,PROPOSAL_ONLY,5 scout boreholes (~620 m total; shallow 50 m) (not drilled),,,,,50.0,,,,,NMET_LANJERA,4 shallow (50 m vertical) scout boreholes proposed,21.42229,79.5557,REAL_GOVERNMENT
KATORI_JHIRIYA,surface_geochemistry,GEOCHEMICAL_SURFACE,"5 hand-held XRF surface samples, 12.4-26.8 % Mn",12.4,26.8,5.0,5.0,,,,,,NMET_KATORI,Hand held XRF Result in %,21.6329,79.91784,REAL_GOVERNMENT
KATORI_JHIRIYA,host_formation,GEOLOGICAL_CONTEXT,block in Mansar Formation terrain (Toposheet 55O/14),,,,,,,,,,NMET_KATORI,dense forest of mansar formation,21.6329,79.91784,REAL_GOVERNMENT
