date,rainfall_mm,temperature_max_c,rainfall_source,tmax_source,soil_moisture_m3m3,soil_moisture_source
2021-01-01,0.0,27.24,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.279,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-01-02,0.0,28.64,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.274,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-01-03,0.0,28.99,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.266,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-01-04,0.0,27.79,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.262,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-01-05,0.0,26.64,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.262,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-01-06,0.0,29.39,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.261,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-01-07,0.0,29.48,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.26,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-01-08,0.0,27.76,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.261,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-01-09,0.0,29.64,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.259,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-01-10,0.0,29.21,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.262,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-01-11,0.0,30.05,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.262,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-01-12,0.0,27.99,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.26,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-01-13,0.0,26.75,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.263,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-01-14,0.0,27.52,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.258,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-01-15,0.0,27.99,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.257,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-01-16,0.0,28.56,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.258,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-01-17,0.0,29.35,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.259,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-01-18,0.0,29.76,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.254,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-01-19,0.0,30.51,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.253,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-01-20,0.0,28.8,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.252,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-01-21,0.0,29.14,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.252,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-01-22,0.0,30.17,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.252,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-01-23,0.0,30.95,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.253,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-01-24,0.0,30.73,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.253,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-01-25,0.0,28.72,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.253,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-01-26,0.0,26.53,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.253,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-01-27,0.0,26.72,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.253,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-01-28,0.0,27.35,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.254,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-01-29,4.22,25.24,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.275,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
