fold,origin,period_end,train_rows,train_last_origin,actual,target,raw_p10,raw_p50,raw_p90,p10,p50,p90,oracle_p50,naive,ma4,calibrated,window
0,2023-07-07,2023-07-13,827,2023-06-30,7904.9,9527.0,8579.0,8681.0,9431.5,8579.0,8681.0,9431.5,8582.9,8658.4,9324.1,False,calibration
0,2023-07-14,2023-07-20,827,2023-06-30,7372.4,9527.0,8554.6,8623.6,8759.4,8554.6,8623.6,8759.4,7018.8,7904.9,8347.0,False,calibration
0,2023-07-21,2023-07-27,827,2023-06-30,7292.7,9527.0,6350.1,7072.7,8076.3,6350.1,7072.7,8076.3,7917.3,7372.4,7607.7,False,calibration
0,2023-07-28,2023-08-03,827,2023-06-30,7213.1,9527.0,7525.2,7897.3,8118.6,7525.2,7897.3,8118.6,7355.1,7292.7,7807.1,False,calibration
0,2023-08-04,2023-08-10,827,2023-06-30,6946.6,9527.0,6410.4,7356.2,8168.7,6410.4,7356.2,8168.7,8062.7,7213.1,7445.8,False,calibration
0,2023-08-11,2023-08-17,827,2023-06-30,6953.5,9527.0,7864.4,8042.9,8293.9,7864.4,8042.9,8293.9,7441.3,6946.6,7206.2,False,calibration
0,2023-08-18,2023-08-24,827,2023-06-30,7053.7,9527.0,7347.7,7425.9,7615.2,7347.7,7425.9,7615.2,8043.4,6953.5,7101.5,False,calibration
0,2023-08-25,2023-08-31,827,2023-06-30,8748.7,9527.0,7905.4,8054.1,8224.6,7905.4,8054.1,8224.6,9357.7,7053.7,7041.7,False,calibration
0,2023-09-01,2023-09-07,827,2023-06-30,7957.9,9527.0,9001.0,9312.5,9567.6,9001.0,9312.5,9567.6,8957.7,8748.7,7425.6,False,calibration
0,2023-09-08,2023-09-14,827,2023-06-30,5940.7,9527.0,8301.2,8872.8,8924.0,8301.2,8872.8,8924.0,6860.5,7957.9,7678.4,False,calibration
0,2023-09-15,2023-09-21,827,2023-06-30,7266.1,9527.0,6687.9,7057.8,7995.2,6687.9,7057.8,7995.2,8222.2,5940.7,7425.2,False,calibration
0,2023-09-22,2023-09-28,827,2023-06-30,7405.1,9527.0,7757.2,8172.0,8174.4,7757.2,8172.0,8174.4,8617.8,7266.1,7478.3,False,calibration
0,2023-09-29,2023-10-05,827,2023-06-30,8244.1,10276.3,8132.7,8648.5,8656.2,8132.7,8648.5,8656.2,8854.5,7405.1,7142.5,False,calibration
