date,mine_id,synthetic_mine_id,target_tonnes,actual_tonnes,equipment_availability,equipment_downtime_h,maintenance_hours,drilling_delay_h,blast_delay_h,truck_count,haulage_delay_h,utilization,rainfall_mm,soil_moisture_m3m3,temperature_max_c,rainfall_source,ops_data_mode,weather_data_mode
2021-01-01,DEMO_MINE,SYN_MINE_01,1500.0,1413.4,0.8635,1.729,0.0,1.296,0.335,17.17,0.0,0.8378,0.0,0.279,27.24,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-01-02,DEMO_MINE,SYN_MINE_01,1500.0,1969.7,1.0,0.0,0.0,1.519,0.224,16.47,0.0,0.9344,0.0,0.274,28.64,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-01-03,DEMO_MINE,SYN_MINE_01,1275.0,1459.6,1.0,0.0,0.0,2.178,0.47,16.31,0.0,0.7388,0.0,0.266,28.99,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-01-04,DEMO_MINE,SYN_MINE_01,1500.0,1791.4,1.0,0.0,0.0,0.0,0.138,17.15,0.0,0.8851,0.0,0.262,27.79,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-01-05,DEMO_MINE,SYN_MINE_01,1500.0,1578.0,0.8412,0.0,3.175,1.792,0.031,16.88,0.0,0.9049,0.0,0.262,26.64,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-01-06,DEMO_MINE,SYN_MINE_01,1500.0,1706.5,1.0,0.0,0.0,0.0,0.092,16.97,0.0,0.8434,0.0,0.261,29.39,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-01-07,DEMO_MINE,SYN_MINE_01,1500.0,1600.5,1.0,0.0,0.0,0.0,0.353,16.0,0.0,0.8127,0.0,0.26,29.48,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-01-08,DEMO_MINE,SYN_MINE_01,1500.0,1671.1,1.0,0.0,0.0,0.0,0.521,16.01,0.0,0.8587,0.0,0.261,27.76,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-01-09,DEMO_MINE,SYN_MINE_01,1500.0,1571.1,0.9191,1.618,0.0,0.467,0.655,16.39,0.0,0.8865,0.0,0.259,29.64,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-01-10,DEMO_MINE,SYN_MINE_01,1275.0,1030.8,0.7589,4.821,0.0,1.96,0.267,14.73,0.0,0.6969,0.0,0.262,29.21,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-01-11,DEMO_MINE,SYN_MINE_01,1500.0,1376.0,0.8477,0.0,3.046,0.0,0.402,16.7,0.0,0.8356,0.0,0.262,30.05,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-01-12,DEMO_MINE,SYN_MINE_01,1500.0,1801.6,1.0,0.0,0.0,1.882,0.024,17.5,0.0,0.8934,0.0,0.26,27.99,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-01-13,DEMO_MINE,SYN_MINE_01,1500.0,1702.7,1.0,0.0,0.0,0.0,0.0,17.3,0.0,0.8368,0.0,0.263,26.75,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-01-14,DEMO_MINE,SYN_MINE_01,1500.0,1660.4,1.0,0.0,0.0,0.0,0.302,17.02,0.0,0.8381,0.0,0.258,27.52,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-01-15,DEMO_MINE,SYN_MINE_01,1500.0,1357.1,0.8253,3.494,0.0,1.026,0.225,16.48,0.0,0.8354,0.0,0.257,27.99,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-01-16,DEMO_MINE,SYN_MINE_01,1500.0,1723.5,1.0,0.0,0.0,0.698,0.046,16.02,0.0,0.852,0.0,0.258,28.56,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-01-17,DEMO_MINE,SYN_MINE_01,1275.0,1388.0,1.0,0.0,0.0,1.582,0.306,16.61,0.0,0.7096,0.0,0.259,29.35,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-01-18,DEMO_MINE,SYN_MINE_01,1500.0,1768.9,1.0,0.0,0.0,0.774,0.103,17.46,0.0,0.8782,0.0,0.254,29.76,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-01-19,DEMO_MINE,SYN_MINE_01,1500.0,1670.9,1.0,0.0,0.0,0.0,0.33,16.36,0.0,0.8524,0.0,0.253,30.51,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
