block_id,corner,lat_dms,lon_dms,source_doc,note
KAWALEWADA_SAKKARDARA,A,21°33'15.37",79°47'07.87",NMET_KAWALEWADA,Table 2 (WGS84)
KAWALEWADA_SAKKARDARA,B,21°33'54.21",79°48'56.44",NMET_KAWALEWADA,Table 2
KAWALEWADA_SAKKARDARA,C,21°33'34.66",79°49'17.47",NMET_KAWALEWADA,Table 2
KAWALEWADA_SAKKARDARA,D,21°32'46.75",79°49'44.85",NMET_KAWALEWADA,Table 2
KAWALEWADA_SAKKARDARA,E,21°31'59.79",79°47'43.87",NMET_KAWALEWADA,Table 2
RONGHA,A,21°27'57.98",79°30'56.34",NMET_RONGHA,corner table (WGS84)
RONGHA,B,21°31'00.72",79°30'54.49",NMET_RONGHA,corner table
RONGHA,C,21°31'02.79",79°34'51.59",NMET_RONGHA,corner table
RONGHA,D,21°28'00.04",79°34'53.36",NMET_RONGHA,corner table
KATORI_JHIRIYA,A,21°45'00.0000",79°58'10.9344",NMET_KATORI,Table III.A (WGS84)
KATORI_JHIRIYA,B,21°43'42.1519",80°00'00.0000",NMET_KATORI,Table III.A
KATORI_JHIRIYA,C,21°42'40.1234",80°00'00.0000",NMET_KATORI,Table III.A
KATORI_JHIRIYA,D,21°31'49.7207",79°53'44.7663",NMET_KATORI,Table III.A
KATORI_JHIRIYA,E,21°34'40.1505",79°48'37.4641",NMET_KATORI,Table III.A
KATORI_JHIRIYA,F,21°36'22.4909",79°50'12.1470",NMET_KATORI,Table III.A
KATORI_JHIRIYA,G,21°36'35.0974",79°55'21.9037",NMET_KATORI,Table III.A
KATORI_JHIRIYA,H,21°42'01.5219",79°55'25.8017",NMET_KATORI,Table III.A
NAGARDHAN,A,21°20'03.45",79°18'59.69",NMET_NAGARDHAN,boundary points
NAGARDHAN,B,21°20'03.42",79°19'41.43",NMET_NAGARDHAN,boundary points
NAGARDHAN,C,21°19'09.40",79°19'41.49",NMET_NAGARDHAN,boundary points
NAGARDHAN,D,21°19'09.39",79°18'59.65",NMET_NAGARDHAN,boundary points
LANJERA_FUTALA,a,21°25'30",79°32'02",NMET_LANJERA,section 1.2.1
LANJERA_FUTALA,b,21°26'14",79°34'43",NMET_LANJERA,section 1.2.1
LANJERA_FUTALA,c,21°25'10",79°34'34",NMET_LANJERA,section 1.2.1
LANJERA_FUTALA,d,21°24'26",79°32'06",NMET_LANJERA,section 1.2.1
