date,rainfall_mm,temperature_max_c,soil_moisture_m3m3
2021-01-01,0.0,27.7,0.279
2021-01-02,0.0,27.8,0.274
2021-01-03,0.0,28.7,0.266
2021-01-04,0.0,28.5,0.262
2021-01-05,0.0,30.2,0.262
2021-01-06,0.0,29.5,0.261
2021-01-07,0.0,29.4,0.26
2021-01-08,0.0,28.6,0.261
2021-01-09,0.0,30.7,0.259
2021-01-10,0.0,30.7,0.262
2021-01-11,0.0,30.4,0.262
2021-01-12,0.0,29.6,0.26
2021-01-13,0.0,26.8,0.263
2021-01-14,0.0,26.6,0.258
2021-01-15,0.0,27.1,0.257
2021-01-16,0.0,28.8,0.258
2021-01-17,0.0,29.7,0.259
2021-01-18,0.0,29.6,0.254
2021-01-19,0.0,30.4,0.253
2021-01-20,0.0,30.2,0.252
2021-01-21,0.0,29.2,0.252
2021-01-22,0.0,28.8,0.252
2021-01-23,0.0,30.1,0.253
2021-01-24,0.0,30.8,0.253
2021-01-25,0.0,30.2,0.253
2021-01-26,0.0,29.3,0.253
2021-01-27,0.0,28.7,0.253
2021-01-28,0.7,28.5,0.254
2021-01-29,3.1,26.9,0.275
2021-01-30,0.0,26.0,0.282
2021-01-31,0.0,26.7,0.278
2021-02-01,0.0,27.0,0.276
2021-02-02,0.0,29.1,0.271
2021-02-03,0.0,29.7,0.27
2021-02-04,0.0,29.5,0.268
2021-02-05,0.0,29.7,0.266
2021-02-06,0.0,27.8,0.263
2021-02-07,0.0,26.3,0.262
2021-02-08,0.0,27.3,0.261
2021-02-09,0.0,29.3,0.261
2021-02-10,0.0,30.6,0.26
2021-02-11,0.0,30.9,0.26
2021-02-12,0.0,31.0,0.263
2021-02-13,0.0,31.8,0.259
2021-02-14,0.0,31.1,0.258
2021-02-15,0.0,30.6,0.258
2021-02-16,0.2,29.8,0.257
2021-02-17,7.0,25.7,0.314
2021-02-18,0.0,27.6,0.355
2021-02-19,0.0,26.0,0.349
2021-02-20,0.0,28.0,0.344
2021-02-21,0.0,29.4,0.334
2021-02-22,0.0,30.5,0.328
2021-02-23,0.0,31.4,0.319
2021-02-24,0.0,31.9,0.313
2021-02-25,0.0,33.5,0.309
2021-02-26,0.0,34.2,0.304
2021-02-27,0.0,33.7,0.298
2021-02-28,0.0,34.7,0.291
2021-03-01,0.0,35.3,0.287
2021-03-02,0.0,33.0,0.285
2021-03-03,0.0,32.1,0.277
2021-03-04,0.0,34.5,0.27
2021-03-05,0.0,35.7,0.27
2021-03-06,0.0,34.8,0.268
2021-03-07,0.0,34.9,0.265
2021-03-08,0.0,35.4,0.262
2021-03-09,0.0,35.8,0.259
2021-03-10,0.0,35.3,0.258
2021-03-11,0.0,34.7,0.257
2021-03-12,0.0,35.0,0.256
2021-03-13,0.0,33.1,0.255
2021-03-14,0.0,33.1,0.258
2021-03-15,0.0,34.4,0.267
2021-03-16,0.0,34.3,0.266
2021-03-17,0.0,35.0,0.261
2021-03-18,0.0,34.9,0.268
2021-03-19,1.7,32.7,0.285
2021-03-20,0.0,34.4,0.291
2021-03-21,0.0,34.6,0.291
2021-03-22,0.2,34.8,0.292
2021-03-23,0.0,30.3,0.301
2021-03-24,0.0,34.7,0.301
2021-03-25,0.0,35.4,0.297
2021-03-26,0.0,35.4,0.293
2021-03-27,0.0,36.7,0.285
2021-03-28,0.0,37.5,0.28
2021-03-29,0.0,39.1,0.28
2021-03-30,0.0,40.1,0.278
2021-03-31,0.0,39.2,0.272
2021-04-01,0.0,38.9,0.266
2021-04-02,0.0,38.4,0.262
2021-04-03,0.0,39.3,0.266
2021-04-04,0.0,39.1,0.27
2021-04-05,0.0,39.5,0.264
2021-04-06,0.0,40.1,0.256
2021-04-07,0.0,40.2,0.255
2021-04-08,0.0,39.4,0.255
2021-04-09,0.0,37.8,0.254
2021-04-10,0.0,37.5,0.247
2021-04-11,0.0,35.1,0.245
