scenario_id,mine_id,start_date,duration_days,disruption_type,severity_production_loss_pct,affected_equipment,availability_change,haulage_delay_change_h,blast_delay_change_h,drill_delay_change_h,truck_change,rainfall_7d_mm,weather_state,production_impact_t,provenance
SIM_2021-04-02_NORMAL,SYN_MINE_01,2021-04-02,7,NORMAL,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,OBSERVED WEEK (IMD/ERA5),0.0,SIMULATED
SIM_2021-04-02_HEAVY_RAIN,SYN_MINE_01,2021-04-02,7,HEAVY_RAIN,7.99,site / dumpers,0.0234,1.055,0.014,1.483,-0.23,148.0,HEAVY_RAIN (IMD p95 7-day),-729.3,SIMULATED
SIM_2021-04-02_EQUIPMENT_DEGRADATION,SYN_MINE_01,2021-04-02,7,EQUIPMENT_DEGRADATION,8.39,"excavators, dumpers",-0.1327,-0.639,-0.114,-0.894,-1.27,0.0,OBSERVED WEEK (IMD/ERA5),-766.2,SIMULATED
SIM_2021-04-02_BLAST_DELAY,SYN_MINE_01,2021-04-02,7,BLAST_DELAY,47.41,blasting / excavators,0.0,0.0,6.129,0.0,0.0,0.0,OBSERVED WEEK (IMD/ERA5),-4328.0,SIMULATED
SIM_2021-04-02_DRILL_DELAY,SYN_MINE_01,2021-04-02,7,DRILL_DELAY,-13.99,drills,0.0545,-0.639,-0.073,0.699,0.12,0.0,OBSERVED WEEK (IMD/ERA5),1277.2,SIMULATED
SIM_2021-04-02_HAULAGE_DISRUPTION,SYN_MINE_01,2021-04-02,7,HAULAGE_DISRUPTION,26.13,dumpers / haul road,0.078,4.429,-0.03,-0.468,-3.62,0.0,OBSERVED WEEK (IMD/ERA5),-2385.1,SIMULATED
SIM_2021-04-02_COMBINED_DISRUPTION,SYN_MINE_01,2021-04-02,7,COMBINED_DISRUPTION,47.41,site-wide,-0.2507,0.52,1.734,0.94,-3.14,148.0,HEAVY_RAIN (IMD p95 7-day),-4328.0,SIMULATED
SIM_2021-04-16_NORMAL,SYN_MINE_01,2021-04-16,7,NORMAL,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,OBSERVED WEEK (IMD/ERA5),0.0,SIMULATED
SIM_2021-04-16_HEAVY_RAIN,SYN_MINE_01,2021-04-16,7,HEAVY_RAIN,29.83,site / dumpers,-0.2017,0.934,-0.055,1.551,-0.13,148.0,HEAVY_RAIN (IMD p95 7-day),-3386.6,SIMULATED
SIM_2021-04-16_EQUIPMENT_DEGRADATION,SYN_MINE_01,2021-04-16,7,EQUIPMENT_DEGRADATION,20.18,"excavators, dumpers",-0.1683,0.237,-0.035,0.271,-1.7,0.0,OBSERVED WEEK (IMD/ERA5),-2291.1,SIMULATED
SIM_2021-04-16_BLAST_DELAY,SYN_MINE_01,2021-04-16,7,BLAST_DELAY,14.93,blasting / excavators,0.0,0.0,2.38,0.0,0.0,0.0,OBSERVED WEEK (IMD/ERA5),-1694.9,SIMULATED
SIM_2021-04-16_DRILL_DELAY,SYN_MINE_01,2021-04-16,7,DRILL_DELAY,13.03,drills,-0.1161,0.0,-0.01,0.942,0.24,0.0,OBSERVED WEEK (IMD/ERA5),-1480.0,SIMULATED
SIM_2021-04-16_HAULAGE_DISRUPTION,SYN_MINE_01,2021-04-16,7,HAULAGE_DISRUPTION,38.03,dumpers / haul road,-0.1312,3.91,-0.037,-0.015,-3.22,0.0,OBSERVED WEEK (IMD/ERA5),-4317.8,SIMULATED
SIM_2021-04-16_COMBINED_DISRUPTION,SYN_MINE_01,2021-04-16,7,COMBINED_DISRUPTION,57.73,site-wide,-0.2515,2.61,2.428,1.687,-2.97,148.0,HEAVY_RAIN (IMD p95 7-day),-6555.0,SIMULATED
SIM_2021-04-30_NORMAL,SYN_MINE_01,2021-04-30,7,NORMAL,0.0,none,0.0,0.0,0.0,0.0,0.0,2.7,OBSERVED WEEK (IMD/ERA5),0.0,SIMULATED
SIM_2021-04-30_HEAVY_RAIN,SYN_MINE_01,2021-04-30,7,HEAVY_RAIN,12.65,site / dumpers,0.0479,2.161,-0.03,1.712,-0.43,148.0,HEAVY_RAIN (IMD p95 7-day),-1193.9,SIMULATED
