date,shift,mine_id,equipment_id,equipment_type,event_type,hours_in_shift,provenance
2021-01-01,A,SYN_MINE_01,SYN_DRILL_002,drill,BREAKDOWN,1.492,SYNTHETIC
2021-01-01,C,SYN_MINE_01,SYN_EXC_001,excavator,BREAKDOWN,3.458,SYNTHETIC
2021-01-01,B,SYN_MINE_01,SYN_TRUCK_011,dumper,BREAKDOWN,3.943,SYNTHETIC
2021-01-01,B,SYN_MINE_01,SYN_TRUCK_015,dumper,BREAKDOWN,5.03,SYNTHETIC
2021-01-02,B,SYN_MINE_01,SYN_DRILL_001,drill,BREAKDOWN,3.116,SYNTHETIC
2021-01-02,A,SYN_MINE_01,SYN_TRUCK_004,dumper,PREVENTIVE_MAINTENANCE,5.728,SYNTHETIC
2021-01-02,C,SYN_MINE_01,SYN_TRUCK_005,dumper,BREAKDOWN,2.453,SYNTHETIC
2021-01-02,B,SYN_MINE_01,SYN_TRUCK_006,dumper,BREAKDOWN,1.216,SYNTHETIC
2021-01-02,A,SYN_MINE_01,SYN_TRUCK_009,dumper,BREAKDOWN,3.542,SYNTHETIC
2021-01-02,A,SYN_MINE_01,SYN_TRUCK_018,dumper,BREAKDOWN,0.29,SYNTHETIC
2021-01-03,B,SYN_MINE_01,SYN_TRUCK_001,dumper,BREAKDOWN,3.114,SYNTHETIC
2021-01-03,A,SYN_MINE_01,SYN_TRUCK_005,dumper,BREAKDOWN,5.392,SYNTHETIC
2021-01-03,A,SYN_MINE_01,SYN_TRUCK_010,dumper,PREVENTIVE_MAINTENANCE,6.324,SYNTHETIC
2021-01-03,B,SYN_MINE_01,SYN_TRUCK_011,dumper,BREAKDOWN,3.602,SYNTHETIC
2021-01-03,C,SYN_MINE_01,SYN_TRUCK_016,dumper,BREAKDOWN,5.668,SYNTHETIC
2021-01-03,C,SYN_MINE_01,SYN_TRUCK_017,dumper,BREAKDOWN,2.453,SYNTHETIC
2021-01-04,A,SYN_MINE_01,SYN_TRUCK_001,dumper,PREVENTIVE_MAINTENANCE,4.197,SYNTHETIC
2021-01-04,A,SYN_MINE_01,SYN_TRUCK_005,dumper,BREAKDOWN,0.526,SYNTHETIC
2021-01-05,A,SYN_MINE_01,SYN_DRILL_001,drill,PREVENTIVE_MAINTENANCE,5.436,SYNTHETIC
