scenario,action_portfolio,n_origins,provenance,scenario_delta_equipment_availability,action_delta_equipment_availability,action_delta_equipment_availability_p10,action_delta_equipment_availability_p90,scenario_delta_equipment_downtime_h,action_delta_equipment_downtime_h,action_delta_equipment_downtime_h_p10,action_delta_equipment_downtime_h_p90,scenario_delta_maintenance_hours,action_delta_maintenance_hours,action_delta_maintenance_hours_p10,action_delta_maintenance_hours_p90,scenario_delta_drilling_delay_h,action_delta_drilling_delay_h,action_delta_drilling_delay_h_p10,action_delta_drilling_delay_h_p90,scenario_delta_blast_delay_h,action_delta_blast_delay_h,action_delta_blast_delay_h_p10,action_delta_blast_delay_h_p90,scenario_delta_truck_count,action_delta_truck_count,action_delta_truck_count_p10,action_delta_truck_count_p90,scenario_delta_haulage_delay_h,action_delta_haulage_delay_h,action_delta_haulage_delay_h_p10,action_delta_haulage_delay_h_p90,scenario_rainfall_7d_mm_min,simulated_recovery_t_median,simulated_recovery_t_p10,simulated_recovery_t_p90
BLAST_DELAY,A1,143,SIMULATED,0.0,0.0345,-0.0216,0.1036,0.0,-0.7423,-2.1491,0.3902,0.0,0.0,-0.0028,0.0345,0.0,0.0092,-0.4461,0.5581,1.1644,-0.0315,-5.7733,5.3435,0.0,0.5021,0.2031,0.8995,0.0,0.0,-0.5069,0.1398,,282.0,-3427.8,4485.8
BLAST_DELAY,A1+A2,143,SIMULATED,0.0,0.0351,-0.0323,0.1153,0.0,-0.6811,-2.508,0.5445,0.0,0.0,-0.0365,0.0224,0.0,0.0323,-0.5263,0.6598,1.1644,0.2057,-5.9418,6.118,0.0,3.0258,0.5322,3.4497,0.0,0.0,-1.9793,0.1797,,224.4,-3467.7,4552.5
BLAST_DELAY,A1+A2+A3,143,SIMULATED,0.0,0.0347,-0.05,0.1084,0.0,-0.6323,-2.2485,0.7801,0.0,0.0,-0.0496,0.0304,0.0,-0.2134,-0.7004,0.2918,1.1644,-2.0251,-7.87,0.0917,0.0,3.0209,0.5353,3.4558,0.0,-0.0257,-1.9869,0.1167,,2457.3,150.8,5832.5
BLAST_DELAY,A1+A3,143,SIMULATED,0.0,0.0309,-0.0216,0.1082,0.0,-0.6619,-2.2548,0.3341,0.0,0.0,-0.0097,0.0349,0.0,-0.213,-0.6701,0.2612,1.1644,-1.9326,-7.9126,0.0286,0.0,0.5015,0.2162,0.9023,0.0,0.0,-0.5625,0.2175,,1866.8,126.9,5776.8
BLAST_DELAY,A2,143,SIMULATED,0.0,0.0,-0.1007,0.0602,0.0,0.0,-1.2992,1.9823,0.0,0.0,-0.0562,0.0033,0.0,0.0,-0.4947,0.5558,1.1644,0.0,-3.9019,4.6767,0.0,2.4997,0.0,2.9967,0.0,0.0,-1.8192,0.0,,0.0,-2847.8,2808.0
BLAST_DELAY,A2+A3,143,SIMULATED,0.0,0.0,-0.1037,0.0827,0.0,0.0,-1.6845,2.0127,0.0,0.0,-0.0424,0.0218,0.0,-0.2471,-0.6819,0.2558,1.1644,-2.1875,-7.9128,0.0211,0.0,2.5296,0.0,3.0143,0.0,-0.0147,-1.8734,0.0,,1952.4,-137.7,5006.1
BLAST_DELAY,A3,143,SIMULATED,0.0,0.0,-0.0324,0.0209,0.0,0.0,-0.5636,0.7464,0.0,0.0,0.0,0.0,0.0,-0.1824,-0.5188,0.0327,1.1644,-1.993,-7.8894,0.0,0.0,0.0,-0.0849,0.1635,0.0,0.0,-0.1379,0.0087,,1377.3,0.0,5465.6
BLAST_DELAY,NO_ACTION,143,SIMULATED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
COMBINED_DISRUPTION,A1,143,SIMULATED,-0.1257,0.0862,-0.0231,0.2045,2.5977,-2.0835,-4.6775,0.2059,0.0,0.0,0.0,0.4707,1.5953,-0.0141,-0.6242,0.5615,0.0207,0.2301,-1.8791,4.8451,-2.6335,1.5171,1.0032,2.1063,0.999,-0.2084,-1.444,0.5607,148.0,846.0,-1694.1,2868.4
COMBINED_DISRUPTION,A1+A2,143,SIMULATED,-0.1257,0.0828,-0.0434,0.2115,2.5977,-2.1488,-4.8231,0.7746,0.0,0.0,0.0,0.5,1.5953,-0.0973,-0.7583,0.4946,0.0207,0.4579,-2.1436,5.3912,-2.6335,3.5473,1.7008,4.1435,0.999,-1.2432,-3.1161,-0.0333,148.0,1506.3,-2058.0,3893.1
COMBINED_DISRUPTION,A1+A2+A3,143,SIMULATED,-0.1257,0.077,-0.0412,0.2163,2.5977,-1.987,-4.7836,0.4079,0.0,0.0,0.0,0.5,1.5953,-0.965,-1.5655,-0.4009,0.0207,-0.2959,-4.775,0.1439,-2.6335,3.5357,1.7401,4.1718,0.999,-1.2183,-3.1754,-0.0282,148.0,3006.6,964.8,5106.4
COMBINED_DISRUPTION,A1+A3,143,SIMULATED,-0.1257,0.0779,-0.0396,0.2066,2.5977,-1.8779,-5.0645,0.3527,0.0,0.0,0.0,0.4948,1.5953,-0.9378,-1.4586,-0.3625,0.0207,-0.2959,-4.9523,0.1158,-2.6335,1.5143,0.9967,2.0841,0.999,-0.2084,-1.4315,0.6193,148.0,1941.1,507.3,4444.9
COMBINED_DISRUPTION,A2,143,SIMULATED,-0.1257,0.0,-0.1622,0.1345,2.5977,0.0,-2.5415,3.2719,0.0,0.0,-0.0295,0.0,1.5953,0.0,-0.5165,0.2909,0.0207,0.0455,-1.3846,3.3998,-2.6335,1.9049,0.0,2.5503,0.999,-0.8909,-2.8127,-0.0101,148.0,41.5,-1315.2,2556.6
COMBINED_DISRUPTION,A2+A3,143,SIMULATED,-0.1257,-0.0036,-0.1616,0.1248,2.5977,0.0661,-2.3542,3.1301,0.0,0.0,-0.0217,0.004,1.5953,-0.8962,-1.4076,-0.574,0.0207,-0.3103,-4.8146,0.0774,-2.6335,1.9549,0.0,2.6052,0.999,-0.8766,-2.7324,-0.0062,148.0,1319.0,-178.4,3863.7
COMBINED_DISRUPTION,A3,143,SIMULATED,-0.1257,0.0,-0.0802,0.0298,2.5977,0.0,-0.5393,1.4748,0.0,0.0,0.0,0.0,1.5953,-0.8898,-1.296,-0.6648,0.0207,-0.3142,-4.9342,0.0292,-2.6335,0.0,-0.1649,0.2922,0.999,0.0,-0.7779,0.2549,148.0,530.8,-351.0,3062.5
COMBINED_DISRUPTION,NO_ACTION,143,SIMULATED,-0.1257,0.0,0.0,0.0,2.5977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5953,0.0,0.0,0.0,0.0207,0.0,0.0,0.0,-2.6335,0.0,0.0,0.0,0.999,0.0,0.0,0.0,148.0,0.0,0.0,0.0
DRILL_DELAY,A1,143,SIMULATED,-0.001,0.0276,-0.0273,0.1129,0.161,-0.6883,-2.5251,0.437,0.0,0.0,-0.012,0.0378,1.2546,-0.0028,-0.619,0.6161,-0.0075,0.0035,-0.125,0.1332,0.0408,0.4712,0.1842,0.8451,0.0,0.0,-0.4164,0.2245,,466.7,-583.2,1578.9
DRILL_DELAY,A1+A2,143,SIMULATED,-0.001,0.034,-0.0256,0.1415,0.161,-0.7694,-2.8309,0.4169,0.0,0.0,-0.03,0.0406,1.2546,0.0418,-0.9322,0.7412,-0.0075,0.0203,-0.1246,0.1785,0.0408,2.9916,0.5516,3.4456,0.0,-0.0506,-1.604,0.0,,708.4,-392.5,2358.2
DRILL_DELAY,A1+A2+A3,143,SIMULATED,-0.001,0.0302,-0.0356,0.1317,0.161,-0.6941,-2.8394,0.4165,0.0,0.0,-0.0392,0.0377,1.2546,-0.6328,-1.3059,0.1057,-0.0075,0.0061,-0.214,0.1279,0.0408,2.9896,0.581,3.4488,0.0,-0.0373,-1.5787,0.0,,973.2,-301.0,2816.0
DRILL_DELAY,A1+A3,143,SIMULATED,-0.001,0.0263,-0.0297,0.1245,0.161,-0.6633,-2.5231,0.416,0.0,0.0,-0.0371,0.0345,1.2546,-0.5866,-1.2618,0.0959,-0.0075,0.011,-0.1915,0.1298,0.0408,0.4811,0.1947,0.8553,0.0,0.0,-0.4477,0.2927,,571.2,-498.1,2111.3
DRILL_DELAY,A2,143,SIMULATED,-0.001,0.0,-0.0757,0.0881,0.161,0.0,-1.9031,1.5204,0.0,0.0,-0.0351,0.0,1.2546,0.0,-0.7892,0.5944,-0.0075,0.0,-0.0869,0.1201,0.0408,2.3957,0.0,2.9136,0.0,0.0,-1.784,0.0,,0.0,-859.9,1800.9
DRILL_DELAY,A2+A3,143,SIMULATED,-0.001,0.0003,-0.0999,0.118,0.161,0.0,-2.424,2.04,0.0,0.0,-0.0348,0.015,1.2546,-0.5423,-1.4327,0.2012,-0.0075,0.0086,-0.2063,0.1011,0.0408,2.4251,-0.0081,2.9307,0.0,-0.0287,-1.6321,0.2031,,489.6,-843.3,2300.9
DRILL_DELAY,A3,143,SIMULATED,-0.001,0.0,-0.0861,0.0789,0.161,0.0,-1.5783,1.7227,0.0,0.0,-0.0141,0.0,1.2546,-0.5872,-1.2462,-0.0738,-0.0075,-0.0059,-0.1651,0.0757,0.0408,0.0,-0.2214,0.1624,0.0,0.0,-0.2985,0.3392,,28.1,-744.2,1315.1
DRILL_DELAY,NO_ACTION,143,SIMULATED,-0.001,0.0,0.0,0.0,0.161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2546,0.0,0.0,0.0,-0.0075,0.0,0.0,0.0,0.0408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
EQUIPMENT_DEGRADATION,A1,143,SIMULATED,-0.1428,0.0784,-0.0336,0.2578,2.7702,-1.9561,-5.4058,0.4153,0.0,0.0,0.0,0.4559,-0.1059,0.002,-0.5569,0.6446,-0.0432,0.0276,-0.1063,0.1795,-1.8971,1.2426,0.6382,1.7606,0.0666,-0.0019,-0.7846,0.3144,,938.0,-393.3,2861.6
EQUIPMENT_DEGRADATION,A1+A2,143,SIMULATED,-0.1428,0.076,-0.0317,0.2528,2.7702,-1.9601,-5.4265,0.0797,0.0,0.0,-0.0015,0.4623,-0.1059,-0.0345,-0.589,0.5964,-0.0432,0.0367,-0.1322,0.2273,-1.8971,3.3676,1.3794,4.062,0.0666,-0.2482,-2.2608,0.0,,1326.2,-282.8,3033.5
EQUIPMENT_DEGRADATION,A1+A2+A3,143,SIMULATED,-0.1428,0.0745,-0.0186,0.2593,2.7702,-1.9329,-5.4385,-0.0077,0.0,0.0,0.0,0.4861,-0.1059,-0.2586,-0.7915,0.2255,-0.0432,0.0222,-0.1512,0.1943,-1.8971,3.3746,1.3424,4.0717,0.0666,-0.2127,-2.1754,0.0,,1464.4,-98.8,3677.6
EQUIPMENT_DEGRADATION,A1+A3,143,SIMULATED,-0.1428,0.0801,-0.0431,0.2405,2.7702,-1.938,-5.3292,0.4853,0.0,0.0,0.0,0.4523,-0.1059,-0.2077,-0.7872,0.2169,-0.0432,0.0163,-0.1562,0.1651,-1.8971,1.2189,0.6332,1.7701,0.0666,-0.0298,-0.7291,0.2825,,1010.7,-128.7,3168.8
EQUIPMENT_DEGRADATION,A2,143,SIMULATED,-0.1428,0.0,-0.1126,0.142,2.7702,0.0,-2.5741,2.2313,0.0,0.0,-0.0047,0.0187,-0.1059,0.0,-0.501,0.5645,-0.0432,0.0,-0.083,0.1296,-1.8971,2.1181,0.0,2.7477,0.0666,-0.1429,-1.7512,0.0,,0.0,-864.1,2146.5
