scenario_id,origin,baseline_state,scenario,action_portfolio,n_actions,equipment_availability_before,equipment_downtime_h_before,maintenance_hours_before,drilling_delay_h_before,blast_delay_h_before,truck_count_before,haulage_delay_h_before,equipment_availability_after,equipment_downtime_h_after,maintenance_hours_after,drilling_delay_h_after,blast_delay_h_after,truck_count_after,haulage_delay_h_after,rainfall_7d_mm,soil_moisture_m3m3,production_normal_t,production_before_t,production_after_t,target_t,gap_before_t,gap_after_t,residual_gap_t,action_cost_proxy,provenance,recovery_t,uncertainty_recovery_sd_t
SIM_2021-04-02_NORMAL,2021-04-02,SIMULATED_HISTORY_STATE,NORMAL,NO_ACTION,0,0.8399,2.1822,1.0,1.2325,0.2762,14.9134,0.639,0.8399,2.1822,1.0,1.2325,0.2762,14.9134,0.639,0.0,0.261,9128.0,9128.0,9128.0,10275.0,1147.0,1147.0,1147.0,0,SIMULATED,0.0,0.0
SIM_2021-04-02_NORMAL,2021-04-02,SIMULATED_HISTORY_STATE,NORMAL,A1,1,0.8399,2.1822,1.0,1.2325,0.2762,14.9134,0.639,0.8734,1.5318,1.0,0.9321,0.2867,15.3753,0.0,0.0,0.261,9128.0,9128.0,10148.6,10275.0,1147.0,126.4,126.4,1,SIMULATED,1020.6000000000004,1132.2
SIM_2021-04-02_NORMAL,2021-04-02,SIMULATED_HISTORY_STATE,NORMAL,A2,1,0.8399,2.1822,1.0,1.2325,0.2762,14.9134,0.639,0.8875,1.0771,1.0,0.6974,0.1881,17.6437,0.4138,0.0,0.261,9128.0,9128.0,10053.0,10275.0,1147.0,222.0,222.0,1,SIMULATED,925.0,1184.6
SIM_2021-04-02_NORMAL,2021-04-02,SIMULATED_HISTORY_STATE,NORMAL,A3,1,0.8399,2.1822,1.0,1.2325,0.2762,14.9134,0.639,0.9159,0.682,1.0,0.9646,0.2022,14.9817,0.639,0.0,0.261,9128.0,9128.0,10016.2,10275.0,1147.0,258.8,258.8,1,SIMULATED,888.2000000000007,1384.9
SIM_2021-04-02_NORMAL,2021-04-02,SIMULATED_HISTORY_STATE,NORMAL,A1+A2,2,0.8399,2.1822,1.0,1.2325,0.2762,14.9134,0.639,0.8883,1.234,1.0,0.6228,0.2322,17.9576,0.0,0.0,0.261,9128.0,9128.0,10171.8,10275.0,1147.0,103.2,103.2,2,SIMULATED,1043.7999999999993,1420.6
SIM_2021-04-02_NORMAL,2021-04-02,SIMULATED_HISTORY_STATE,NORMAL,A1+A3,2,0.8399,2.1822,1.0,1.2325,0.2762,14.9134,0.639,0.8734,1.5318,1.0,0.6772,0.2867,15.3753,0.0,0.0,0.261,9128.0,9128.0,10148.6,10275.0,1147.0,126.4,126.4,2,SIMULATED,1020.6000000000004,1451.4
SIM_2021-04-02_NORMAL,2021-04-02,SIMULATED_HISTORY_STATE,NORMAL,A2+A3,2,0.8399,2.1822,1.0,1.2325,0.2762,14.9134,0.639,0.8828,1.2262,1.0,0.5204,0.2326,17.7294,0.0,0.0,0.261,9128.0,9128.0,10273.3,10275.0,1147.0,1.7,1.7,2,SIMULATED,1145.2999999999993,1691.9
SIM_2021-04-02_NORMAL,2021-04-02,SIMULATED_HISTORY_STATE,NORMAL,A1+A2+A3,3,0.8399,2.1822,1.0,1.2325,0.2762,14.9134,0.639,0.8883,1.234,1.0,0.6101,0.2322,17.9576,0.0,0.0,0.261,9128.0,9128.0,10171.8,10275.0,1147.0,103.2,103.2,3,SIMULATED,1043.7999999999993,1553.4
SIM_2021-04-02_HEAVY_RAIN,2021-04-02,SIMULATED_HISTORY_STATE,HEAVY_RAIN,NO_ACTION,0,0.8634,2.2325,0.5,2.7155,0.2906,14.6812,1.6945,0.8634,2.2325,0.5,2.7155,0.2906,14.6812,1.6945,148.0,0.46,9128.0,8398.7,8398.7,10275.0,1876.3,1876.3,1876.3,0,SIMULATED,0.0,0.0
SIM_2021-04-02_HEAVY_RAIN,2021-04-02,SIMULATED_HISTORY_STATE,HEAVY_RAIN,A1,1,0.8634,2.2325,0.5,2.7155,0.2906,14.6812,1.6945,0.9028,1.0028,0.9417,2.2285,0.3031,14.9576,0.5796,148.0,0.46,9128.0,8398.7,10234.0,10275.0,1876.3,41.0,41.0,1,SIMULATED,1835.2999999999993,1153.0
