borehole_id,target_id,scenario,depth_from_m,depth_to_m,interval_thickness_m,formation,host_lithology,weathering_zone,manganese_presence,mn_grade_pct,grade_category,confidence,evidence_level,provenance
SIM_T01_POS_BH01,T01,POSITIVE_DRILLING_INTERSECTION,0.0,2.15,2.15,Sausar Group,weathered zone / laterite cover,True,False,0.57,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T01_POS_BH01,T01,POSITIVE_DRILLING_INTERSECTION,2.15,14.21,12.06,Sausar Group,quartz-mica schist / calc-silicate (host),True,False,0.45,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T01_POS_BH01,T01,POSITIVE_DRILLING_INTERSECTION,14.21,15.95,1.74,Sausar Group,Mn ore / gondite horizon H3 (Mansar/Lohangi-Sitasaongi contact),True,True,36.85,MEDIUM (35-46% Mn),MODERATE,3,SIMULATED
SIM_T01_POS_BH01,T01,POSITIVE_DRILLING_INTERSECTION,15.95,16.3,0.35,Sausar Group,quartz-mica schist / calc-silicate (host),False,False,0.47,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T01_POS_BH01,T01,POSITIVE_DRILLING_INTERSECTION,16.3,17.91,1.61,Sausar Group,Mn ore / gondite horizon H2 (within Mansar Formation),False,True,29.08,LOW (25-35% Mn),MODERATE,3,SIMULATED
SIM_T01_POS_BH01,T01,POSITIVE_DRILLING_INTERSECTION,17.91,52.2,34.29,Sausar Group,quartz-mica schist / calc-silicate (host),False,False,0.82,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T01_POS_BH02,T01,POSITIVE_DRILLING_INTERSECTION,0.0,2.55,2.55,Sausar Group,weathered zone / laterite cover,True,False,0.52,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T01_POS_BH02,T01,POSITIVE_DRILLING_INTERSECTION,2.55,37.06,34.51,Sausar Group,quartz-mica schist / calc-silicate (host),True,False,0.44,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T01_POS_BH02,T01,POSITIVE_DRILLING_INTERSECTION,37.06,38.68,1.62,Sausar Group,Mn ore / gondite horizon H3 (Mansar/Lohangi-Sitasaongi contact),False,True,28.38,LOW (25-35% Mn),MODERATE,3,SIMULATED
SIM_T01_POS_BH02,T01,POSITIVE_DRILLING_INTERSECTION,38.68,61.71,23.03,Sausar Group,quartz-mica schist / calc-silicate (host),False,False,0.22,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T01_POS_BH02,T01,POSITIVE_DRILLING_INTERSECTION,61.71,63.24,1.53,Sausar Group,Mn ore / gondite horizon H1 (Mansar/Chorbaoli contact),False,True,34.86,LOW (25-35% Mn),MODERATE,3,SIMULATED
SIM_T01_POS_BH02,T01,POSITIVE_DRILLING_INTERSECTION,63.24,81.7,18.46,Sausar Group,quartz-mica schist / calc-silicate (host),False,False,0.38,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T01_POS_BH03,T01,POSITIVE_DRILLING_INTERSECTION,0.0,2.96,2.96,Sausar Group,weathered zone / laterite cover,True,False,0.35,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T01_POS_BH03,T01,POSITIVE_DRILLING_INTERSECTION,2.96,37.47,34.51,Sausar Group,quartz-mica schist / calc-silicate (host),True,False,0.17,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T01_POS_BH03,T01,POSITIVE_DRILLING_INTERSECTION,37.47,39.19,1.72,Sausar Group,Mn ore / gondite horizon H1 (Mansar/Chorbaoli contact),False,True,24.82,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T01_POS_BH03,T01,POSITIVE_DRILLING_INTERSECTION,39.19,55.9,16.71,Sausar Group,quartz-mica schist / calc-silicate (host),False,False,0.45,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T01_NEG_BH01,T01,NEGATIVE_DRILLING_RESULT,0.0,2.33,2.33,Sausar Group,weathered zone / laterite cover,True,False,0.25,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T01_NEG_BH01,T01,NEGATIVE_DRILLING_RESULT,2.33,74.7,72.37,Sausar Group,quartz-mica schist / calc-silicate (host),True,False,0.34,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T01_NEG_BH02,T01,NEGATIVE_DRILLING_RESULT,0.0,2.49,2.49,Sausar Group,weathered zone / laterite cover,True,False,0.26,BELOW 25% Mn,MODERATE,3,SIMULATED
