borehole_id,target_id,scenario,latitude,longitude,azimuth,dip,total_depth_m,bed_dip_deg,formation_context,generation_basis,provenance
SIM_T01_POS_BH01,T01,POSITIVE_DRILLING_INTERSECTION,21.935862,80.308083,335.9,-60.0,52.2,61.3,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T01_POS_BH02,T01,POSITIVE_DRILLING_INTERSECTION,21.936422,80.305387,336.5,-60.0,81.7,71.8,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T01_POS_BH03,T01,POSITIVE_DRILLING_INTERSECTION,21.9358,80.301989,336.2,-60.0,55.9,48.1,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T01_NEG_BH01,T01,NEGATIVE_DRILLING_RESULT,21.935714,80.306727,328.1,-60.0,74.7,46.5,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T01_NEG_BH02,T01,NEGATIVE_DRILLING_RESULT,21.935829,80.301821,318.7,-60.0,74.3,47.9,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T01_NEG_BH03,T01,NEGATIVE_DRILLING_RESULT,21.935561,80.307336,341.3,-60.0,83.6,48.8,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T01_AMB_BH01,T01,AMBIGUOUS_DRILLING_RESULT,21.935892,80.30289,327.7,-60.0,62.8,63.0,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T01_AMB_BH02,T01,AMBIGUOUS_DRILLING_RESULT,21.933211,80.305087,336.1,-60.0,93.7,66.0,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T01_AMB_BH03,T01,AMBIGUOUS_DRILLING_RESULT,21.935485,80.304153,329.2,-60.0,96.2,55.0,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T02_POS_BH01,T02,POSITIVE_DRILLING_INTERSECTION,21.907986,80.361647,343.9,-60.0,59.1,46.5,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T02_POS_BH02,T02,POSITIVE_DRILLING_INTERSECTION,21.903131,80.3611,345.8,-60.0,69.0,56.5,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T02_POS_BH03,T02,POSITIVE_DRILLING_INTERSECTION,21.905018,80.353917,343.0,-60.0,58.6,66.6,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T02_NEG_BH01,T02,NEGATIVE_DRILLING_RESULT,21.902313,80.356855,342.0,-60.0,69.2,60.3,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T02_NEG_BH02,T02,NEGATIVE_DRILLING_RESULT,21.906419,80.355295,327.5,-60.0,84.3,65.6,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T02_NEG_BH03,T02,NEGATIVE_DRILLING_RESULT,21.902475,80.358776,347.6,-60.0,55.3,74.3,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T02_AMB_BH01,T02,AMBIGUOUS_DRILLING_RESULT,21.899133,80.357143,347.5,-60.0,90.1,66.2,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T02_AMB_BH02,T02,AMBIGUOUS_DRILLING_RESULT,21.902732,80.35636,333.5,-60.0,58.7,69.8,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T02_AMB_BH03,T02,AMBIGUOUS_DRILLING_RESULT,21.900621,80.354354,328.8,-60.0,70.6,67.2,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T03_POS_BH01,T03,POSITIVE_DRILLING_INTERSECTION,21.987689,80.383337,333.1,-60.0,50.5,67.4,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T03_POS_BH02,T03,POSITIVE_DRILLING_INTERSECTION,21.983627,80.380348,342.5,-60.0,74.7,65.5,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T03_POS_BH03,T03,POSITIVE_DRILLING_INTERSECTION,21.9888,80.383479,338.4,-60.0,81.5,77.1,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T03_NEG_BH01,T03,NEGATIVE_DRILLING_RESULT,21.987498,80.385643,323.5,-60.0,98.5,67.9,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T03_NEG_BH02,T03,NEGATIVE_DRILLING_RESULT,21.988526,80.382896,323.1,-60.0,90.1,64.4,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T03_NEG_BH03,T03,NEGATIVE_DRILLING_RESULT,21.987064,80.382538,333.8,-60.0,81.1,53.2,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T03_AMB_BH01,T03,AMBIGUOUS_DRILLING_RESULT,21.988159,80.383049,325.1,-60.0,94.3,54.6,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T03_AMB_BH02,T03,AMBIGUOUS_DRILLING_RESULT,21.986315,80.381837,322.9,-60.0,87.6,78.6,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
