sample_id,target_id,scenario,borehole_id,depth_from_m,depth_to_m,sample_type,mn_pct,fe_pct,sio2_pct,sample_quality,provenance
SIM_T01_SS01,T01,POSITIVE_GEOCHEMICAL_SUPPORT,,0.0,0.2,soil / rock chip (simulated),19.51,6.13,38.54,SIMULATED_SCREENING,SIMULATED
SIM_T01_SS02,T01,POSITIVE_GEOCHEMICAL_SUPPORT,,0.0,0.2,soil / rock chip (simulated),9.51,5.15,52.08,SIMULATED_SCREENING,SIMULATED
SIM_T01_SS03,T01,POSITIVE_GEOCHEMICAL_SUPPORT,,0.0,0.2,soil / rock chip (simulated),14.91,3.98,53.08,SIMULATED_SCREENING,SIMULATED
SIM_T01_SS04,T01,POSITIVE_GEOCHEMICAL_SUPPORT,,0.0,0.2,soil / rock chip (simulated),19.69,5.08,50.72,SIMULATED_SCREENING,SIMULATED
SIM_T01_SS05,T01,POSITIVE_GEOCHEMICAL_SUPPORT,,0.0,0.2,soil / rock chip (simulated),17.67,3.97,49.11,SIMULATED_SCREENING,SIMULATED
SIM_T01_SS06,T01,POSITIVE_GEOCHEMICAL_SUPPORT,,0.0,0.2,soil / rock chip (simulated),10.72,6.05,52.29,SIMULATED_SCREENING,SIMULATED
SIM_T01_SS07,T01,POSITIVE_GEOCHEMICAL_SUPPORT,,0.0,0.2,soil / rock chip (simulated),14.06,4.18,55.05,SIMULATED_SCREENING,SIMULATED
SIM_T01_SS08,T01,POSITIVE_GEOCHEMICAL_SUPPORT,,0.0,0.2,soil / rock chip (simulated),14.21,4.49,48.64,SIMULATED_SCREENING,SIMULATED
SIM_T01_POS_BH01_001,T01,POSITIVE_DRILLING_INTERSECTION,SIM_T01_POS_BH01,0.0,2.15,drill core (simulated),0.57,4.0,61.26,SIMULATED_ASSAY,SIMULATED
SIM_T01_POS_BH01_002,T01,POSITIVE_DRILLING_INTERSECTION,SIM_T01_POS_BH01,2.15,14.21,drill core (simulated),0.45,6.31,59.31,SIMULATED_ASSAY,SIMULATED
SIM_T01_POS_BH01_003,T01,POSITIVE_DRILLING_INTERSECTION,SIM_T01_POS_BH01,14.21,15.95,drill core (simulated),36.85,6.1,16.11,SIMULATED_ASSAY,SIMULATED
SIM_T01_POS_BH01_004,T01,POSITIVE_DRILLING_INTERSECTION,SIM_T01_POS_BH01,15.95,16.3,drill core (simulated),0.47,4.52,49.26,SIMULATED_ASSAY,SIMULATED
SIM_T01_POS_BH01_005,T01,POSITIVE_DRILLING_INTERSECTION,SIM_T01_POS_BH01,16.3,17.91,drill core (simulated),29.08,5.59,21.28,SIMULATED_ASSAY,SIMULATED
SIM_T01_POS_BH01_006,T01,POSITIVE_DRILLING_INTERSECTION,SIM_T01_POS_BH01,17.91,52.2,drill core (simulated),0.82,2.48,63.81,SIMULATED_ASSAY,SIMULATED
SIM_T01_POS_BH02_007,T01,POSITIVE_DRILLING_INTERSECTION,SIM_T01_POS_BH02,0.0,2.55,drill core (simulated),0.52,4.36,62.14,SIMULATED_ASSAY,SIMULATED
SIM_T01_POS_BH02_008,T01,POSITIVE_DRILLING_INTERSECTION,SIM_T01_POS_BH02,2.55,37.06,drill core (simulated),0.44,5.69,56.14,SIMULATED_ASSAY,SIMULATED
SIM_T01_POS_BH02_009,T01,POSITIVE_DRILLING_INTERSECTION,SIM_T01_POS_BH02,37.06,38.68,drill core (simulated),28.38,5.43,22.05,SIMULATED_ASSAY,SIMULATED
SIM_T01_POS_BH02_010,T01,POSITIVE_DRILLING_INTERSECTION,SIM_T01_POS_BH02,38.68,61.71,drill core (simulated),0.22,5.02,55.18,SIMULATED_ASSAY,SIMULATED
SIM_T01_POS_BH02_011,T01,POSITIVE_DRILLING_INTERSECTION,SIM_T01_POS_BH02,61.71,63.24,drill core (simulated),34.86,7.0,17.48,SIMULATED_ASSAY,SIMULATED
SIM_T01_POS_BH02_012,T01,POSITIVE_DRILLING_INTERSECTION,SIM_T01_POS_BH02,63.24,81.7,drill core (simulated),0.38,2.47,57.52,SIMULATED_ASSAY,SIMULATED
SIM_T01_POS_BH03_013,T01,POSITIVE_DRILLING_INTERSECTION,SIM_T01_POS_BH03,0.0,2.96,drill core (simulated),0.35,6.26,55.97,SIMULATED_ASSAY,SIMULATED
SIM_T01_POS_BH03_014,T01,POSITIVE_DRILLING_INTERSECTION,SIM_T01_POS_BH03,2.96,37.47,drill core (simulated),0.17,4.11,59.43,SIMULATED_ASSAY,SIMULATED
SIM_T01_POS_BH03_015,T01,POSITIVE_DRILLING_INTERSECTION,SIM_T01_POS_BH03,37.47,39.19,drill core (simulated),24.82,5.21,25.18,SIMULATED_ASSAY,SIMULATED
SIM_T01_POS_BH03_016,T01,POSITIVE_DRILLING_INTERSECTION,SIM_T01_POS_BH03,39.19,55.9,drill core (simulated),0.45,4.64,67.61,SIMULATED_ASSAY,SIMULATED
SIM_T01_NEG_BH01_001,T01,NEGATIVE_DRILLING_RESULT,SIM_T01_NEG_BH01,0.0,2.33,drill core (simulated),0.25,5.95,49.74,SIMULATED_ASSAY,SIMULATED
SIM_T01_NEG_BH01_002,T01,NEGATIVE_DRILLING_RESULT,SIM_T01_NEG_BH01,2.33,74.7,drill core (simulated),0.34,5.47,51.91,SIMULATED_ASSAY,SIMULATED
SIM_T01_NEG_BH02_003,T01,NEGATIVE_DRILLING_RESULT,SIM_T01_NEG_BH02,0.0,2.49,drill core (simulated),0.26,4.79,54.33,SIMULATED_ASSAY,SIMULATED
SIM_T01_NEG_BH02_004,T01,NEGATIVE_DRILLING_RESULT,SIM_T01_NEG_BH02,2.49,74.3,drill core (simulated),0.68,3.45,57.05,SIMULATED_ASSAY,SIMULATED
SIM_T01_NEG_BH03_005,T01,NEGATIVE_DRILLING_RESULT,SIM_T01_NEG_BH03,0.0,2.28,drill core (simulated),0.3,3.91,52.21,SIMULATED_ASSAY,SIMULATED
SIM_T01_NEG_BH03_006,T01,NEGATIVE_DRILLING_RESULT,SIM_T01_NEG_BH03,2.28,83.6,drill core (simulated),1.13,3.65,63.03,SIMULATED_ASSAY,SIMULATED
SIM_T01_AMB_BH01_001,T01,AMBIGUOUS_DRILLING_RESULT,SIM_T01_AMB_BH01,0.0,2.94,drill core (simulated),0.38,5.33,65.84,SIMULATED_ASSAY,SIMULATED
SIM_T01_AMB_BH01_002,T01,AMBIGUOUS_DRILLING_RESULT,SIM_T01_AMB_BH01,2.94,49.28,drill core (simulated),0.34,7.3,60.57,SIMULATED_ASSAY,SIMULATED
SIM_T01_AMB_BH01_003,T01,AMBIGUOUS_DRILLING_RESULT,SIM_T01_AMB_BH01,49.28,50.16,drill core (simulated),17.26,3.95,30.67,SIMULATED_ASSAY,SIMULATED
SIM_T01_AMB_BH01_004,T01,AMBIGUOUS_DRILLING_RESULT,SIM_T01_AMB_BH01,50.16,62.8,drill core (simulated),0.96,4.43,56.92,SIMULATED_ASSAY,SIMULATED
SIM_T01_AMB_BH02_005,T01,AMBIGUOUS_DRILLING_RESULT,SIM_T01_AMB_BH02,0.0,2.2,drill core (simulated),0.52,3.74,57.71,SIMULATED_ASSAY,SIMULATED
SIM_T01_AMB_BH02_006,T01,AMBIGUOUS_DRILLING_RESULT,SIM_T01_AMB_BH02,2.2,16.81,drill core (simulated),0.21,6.37,56.0,SIMULATED_ASSAY,SIMULATED
SIM_T01_AMB_BH02_007,T01,AMBIGUOUS_DRILLING_RESULT,SIM_T01_AMB_BH02,16.81,17.2,drill core (simulated),10.38,5.27,36.71,SIMULATED_ASSAY,SIMULATED
SIM_T01_AMB_BH02_008,T01,AMBIGUOUS_DRILLING_RESULT,SIM_T01_AMB_BH02,17.2,93.7,drill core (simulated),0.35,7.01,61.23,SIMULATED_ASSAY,SIMULATED
SIM_T01_AMB_BH03_009,T01,AMBIGUOUS_DRILLING_RESULT,SIM_T01_AMB_BH03,0.0,2.02,drill core (simulated),0.26,4.11,49.22,SIMULATED_ASSAY,SIMULATED
SIM_T01_AMB_BH03_010,T01,AMBIGUOUS_DRILLING_RESULT,SIM_T01_AMB_BH03,2.02,43.78,drill core (simulated),0.49,4.02,53.63,SIMULATED_ASSAY,SIMULATED
SIM_T01_AMB_BH03_011,T01,AMBIGUOUS_DRILLING_RESULT,SIM_T01_AMB_BH03,43.78,44.53,drill core (simulated),7.96,4.41,38.6,SIMULATED_ASSAY,SIMULATED
SIM_T01_AMB_BH03_012,T01,AMBIGUOUS_DRILLING_RESULT,SIM_T01_AMB_BH03,44.53,96.2,drill core (simulated),0.3,2.36,57.43,SIMULATED_ASSAY,SIMULATED
SIM_T02_SS01,T02,POSITIVE_GEOCHEMICAL_SUPPORT,,0.0,0.2,soil / rock chip (simulated),28.53,8.49,35.34,SIMULATED_SCREENING,SIMULATED
SIM_T02_SS02,T02,POSITIVE_GEOCHEMICAL_SUPPORT,,0.0,0.2,soil / rock chip (simulated),13.19,5.41,57.68,SIMULATED_SCREENING,SIMULATED
SIM_T02_SS03,T02,POSITIVE_GEOCHEMICAL_SUPPORT,,0.0,0.2,soil / rock chip (simulated),10.62,4.71,55.68,SIMULATED_SCREENING,SIMULATED
SIM_T02_SS04,T02,POSITIVE_GEOCHEMICAL_SUPPORT,,0.0,0.2,soil / rock chip (simulated),17.47,4.55,47.24,SIMULATED_SCREENING,SIMULATED
