target_id,scenario,method,response,background,anomaly_strength,depth_or_scale,noise,confidence,provenance
T01,POSITIVE_GEOPHYSICAL_SUPPORT,IP chargeability (simulated),16.71,8.0,1.089,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T01,POSITIVE_DRILLING_INTERSECTION,IP chargeability (simulated),13.52,8.0,0.69,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T01,NEGATIVE_DRILLING_RESULT,IP chargeability (simulated),9.47,8.0,0.184,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T01,AMBIGUOUS_DRILLING_RESULT,IP chargeability (simulated),13.98,8.0,0.748,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T02,POSITIVE_GEOPHYSICAL_SUPPORT,IP chargeability (simulated),13.22,8.0,0.652,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T02,POSITIVE_DRILLING_INTERSECTION,IP chargeability (simulated),14.75,8.0,0.843,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T02,NEGATIVE_DRILLING_RESULT,IP chargeability (simulated),9.31,8.0,0.164,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T02,AMBIGUOUS_DRILLING_RESULT,IP chargeability (simulated),11.84,8.0,0.48,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T03,POSITIVE_GEOPHYSICAL_SUPPORT,IP chargeability (simulated),18.35,8.0,1.294,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T03,POSITIVE_DRILLING_INTERSECTION,IP chargeability (simulated),14.78,8.0,0.847,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T03,NEGATIVE_DRILLING_RESULT,IP chargeability (simulated),8.55,8.0,0.068,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T03,AMBIGUOUS_DRILLING_RESULT,IP chargeability (simulated),9.72,8.0,0.215,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T04,POSITIVE_GEOPHYSICAL_SUPPORT,IP chargeability (simulated),12.6,8.0,0.575,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T04,POSITIVE_DRILLING_INTERSECTION,IP chargeability (simulated),14.78,8.0,0.848,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T04,NEGATIVE_DRILLING_RESULT,IP chargeability (simulated),7.19,8.0,-0.101,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T04,AMBIGUOUS_DRILLING_RESULT,IP chargeability (simulated),11.36,8.0,0.42,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T05,POSITIVE_GEOPHYSICAL_SUPPORT,IP chargeability (simulated),19.55,8.0,1.444,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T05,POSITIVE_DRILLING_INTERSECTION,IP chargeability (simulated),16.88,8.0,1.11,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T05,NEGATIVE_DRILLING_RESULT,IP chargeability (simulated),10.31,8.0,0.289,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T05,AMBIGUOUS_DRILLING_RESULT,IP chargeability (simulated),10.76,8.0,0.345,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T06,POSITIVE_GEOPHYSICAL_SUPPORT,IP chargeability (simulated),17.55,8.0,1.194,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T06,POSITIVE_DRILLING_INTERSECTION,IP chargeability (simulated),16.24,8.0,1.029,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T06,NEGATIVE_DRILLING_RESULT,IP chargeability (simulated),8.09,8.0,0.011,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T06,AMBIGUOUS_DRILLING_RESULT,IP chargeability (simulated),12.77,8.0,0.597,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T07,POSITIVE_GEOPHYSICAL_SUPPORT,IP chargeability (simulated),15.0,8.0,0.875,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T07,POSITIVE_DRILLING_INTERSECTION,IP chargeability (simulated),18.13,8.0,1.266,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T07,NEGATIVE_DRILLING_RESULT,IP chargeability (simulated),9.66,8.0,0.208,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T07,AMBIGUOUS_DRILLING_RESULT,IP chargeability (simulated),12.86,8.0,0.608,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T08,POSITIVE_GEOPHYSICAL_SUPPORT,IP chargeability (simulated),15.44,8.0,0.93,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T08,POSITIVE_DRILLING_INTERSECTION,IP chargeability (simulated),17.39,8.0,1.174,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T08,NEGATIVE_DRILLING_RESULT,IP chargeability (simulated),9.26,8.0,0.157,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T08,AMBIGUOUS_DRILLING_RESULT,IP chargeability (simulated),14.43,8.0,0.804,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T09,POSITIVE_GEOPHYSICAL_SUPPORT,IP chargeability (simulated),18.62,8.0,1.327,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T09,POSITIVE_DRILLING_INTERSECTION,IP chargeability (simulated),14.33,8.0,0.792,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
