target_id,scenario,lat,lon,prospectivity_rank,observed_evidence_level,geological_unit,nmet_block_id,n_boreholes,n_intervals,n_geochem,n_geophys,mn_bearing_intervals,max_mn_pct,provenance
T01,NO_SUBSURFACE_EVIDENCE,21.935,80.3038,99.0,2,Mesoproterozoic sedimentary and volcanic rocks,,0,0,0,0,0,,SIMULATED
T01,POSITIVE_GEOPHYSICAL_SUPPORT,21.935,80.3038,99.0,2,Mesoproterozoic sedimentary and volcanic rocks,,0,0,0,1,0,,SIMULATED
T01,POSITIVE_GEOCHEMICAL_SUPPORT,21.935,80.3038,99.0,2,Mesoproterozoic sedimentary and volcanic rocks,,0,0,8,0,0,,SIMULATED
T01,POSITIVE_DRILLING_INTERSECTION,21.935,80.3038,99.0,2,Mesoproterozoic sedimentary and volcanic rocks,,3,16,16,1,5,36.85,SIMULATED
T01,NEGATIVE_DRILLING_RESULT,21.935,80.3038,99.0,2,Mesoproterozoic sedimentary and volcanic rocks,,3,6,6,1,0,,SIMULATED
T01,AMBIGUOUS_DRILLING_RESULT,21.935,80.3038,99.0,2,Mesoproterozoic sedimentary and volcanic rocks,,3,12,12,1,2,17.26,SIMULATED
T02,NO_SUBSURFACE_EVIDENCE,21.9038,80.3585,98.7,2,Mesoproterozoic sedimentary and volcanic rocks,,0,0,0,0,0,,SIMULATED
T02,POSITIVE_GEOPHYSICAL_SUPPORT,21.9038,80.3585,98.7,2,Mesoproterozoic sedimentary and volcanic rocks,,0,0,0,1,0,,SIMULATED
T02,POSITIVE_GEOCHEMICAL_SUPPORT,21.9038,80.3585,98.7,2,Mesoproterozoic sedimentary and volcanic rocks,,0,0,8,0,0,,SIMULATED
T02,POSITIVE_DRILLING_INTERSECTION,21.9038,80.3585,98.7,2,Mesoproterozoic sedimentary and volcanic rocks,,3,16,16,1,5,40.31,SIMULATED
T02,NEGATIVE_DRILLING_RESULT,21.9038,80.3585,98.7,2,Mesoproterozoic sedimentary and volcanic rocks,,3,6,6,1,0,,SIMULATED
T02,AMBIGUOUS_DRILLING_RESULT,21.9038,80.3585,98.7,2,Mesoproterozoic sedimentary and volcanic rocks,,3,12,12,1,3,28.42,SIMULATED
T03,NO_SUBSURFACE_EVIDENCE,21.987,80.382,98.6,2,Mesoproterozoic sedimentary and volcanic rocks,,0,0,0,0,0,,SIMULATED
T03,POSITIVE_GEOPHYSICAL_SUPPORT,21.987,80.382,98.6,2,Mesoproterozoic sedimentary and volcanic rocks,,0,0,0,1,0,,SIMULATED
T03,POSITIVE_GEOCHEMICAL_SUPPORT,21.987,80.382,98.6,2,Mesoproterozoic sedimentary and volcanic rocks,,0,0,8,0,0,,SIMULATED
T03,POSITIVE_DRILLING_INTERSECTION,21.987,80.382,98.6,2,Mesoproterozoic sedimentary and volcanic rocks,,3,12,12,1,3,31.37,SIMULATED
T03,NEGATIVE_DRILLING_RESULT,21.987,80.382,98.6,2,Mesoproterozoic sedimentary and volcanic rocks,,3,6,6,1,0,,SIMULATED
T03,AMBIGUOUS_DRILLING_RESULT,21.987,80.382,98.6,2,Mesoproterozoic sedimentary and volcanic rocks,,3,12,12,1,3,21.59,SIMULATED
T04,NO_SUBSURFACE_EVIDENCE,21.3993,79.43,98.5,2,Mesoproterozoic sedimentary and volcanic rocks,,0,0,0,0,0,,SIMULATED
